station_id;name;is_virtual_station;capacity;lat;lon;geopunt;station_area
302a8fc2-9e95-4b5b-85c2-ec84f9ef62b2;Aannemersstraat 31;1;2;51.049826;3.746643;51.049826, 3.746643;"{""coordinates"": [[[[3.7467675827365, 51.049825809142], [3.7467651808965505, 51.04985019543225], [3.746758067678064, 51.04987364457104], [3.7467465164380376, 51.04989525542113], [3.746730971084148, 51.04991419748965], [3.7467120290156273, 51.04992974284354], [3.746690418165546, 51.04994129408357], [3.746666969026752, 51.04994840730205], [3.7466425827365, 51.049950809142], [3.746618196446248, 51.04994840730205], [3.746594747307454, 51.04994129408357], [3.7465731364573727, 51.04992974284354], [3.746554194388852, 51.04991419748965], [3.7465386490349624, 51.04989525542113], [3.746527097794936, 51.04987364457104], [3.7465199845764494, 51.04985019543225], [3.7465175827365, 51.049825809142], [3.7465199845764494, 51.04980142285175], [3.746527097794936, 51.049777973712956], [3.7465386490349624, 51.04975636286287], [3.746554194388852, 51.04973742079435], [3.7465731364573727, 51.04972187544046], [3.746594747307454, 51.04971032420043], [3.746618196446248, 51.04970321098195], [3.7466425827365, 51.049700809142], [3.746666969026752, 51.04970321098195], [3.746690418165546, 51.04971032420043], [3.7467120290156273, 51.04972187544046], [3.746730971084148, 51.04973742079435], [3.7467465164380376, 51.04975636286287], [3.746758067678064, 51.049777973712956], [3.7467651808965505, 51.04980142285175], [3.7467675827365, 51.049825809142]]]], ""type"": ""MultiPolygon""}"
750ee356-9595-4877-9cd8-0082d3af04e7;Schildersstraat 16;1;2;51.05217;3.746222;51.05217, 3.746222;"{""coordinates"": [[[[3.7463469289407003, 51.052170171641], [3.7463445271007507, 51.05219455793125], [3.746337413882264, 51.052218007070046], [3.7463258626422378, 51.05223961792013], [3.7463103172883483, 51.05225855998865], [3.7462913752198275, 51.05227410534254], [3.746269764369746, 51.05228565658257], [3.746246315230952, 51.05229276980105], [3.7462219289407, 51.052295171641], [3.746197542650448, 51.05229276980105], [3.7461740935116543, 51.05228565658257], [3.746152482661573, 51.05227410534254], [3.746133540593052, 51.05225855998865], [3.7461179952391626, 51.05223961792013], [3.7461064439991363, 51.052218007070046], [3.7460993307806496, 51.05219455793125], [3.7460969289407, 51.052170171641], [3.7460993307806496, 51.05214578535075], [3.7461064439991363, 51.05212233621196], [3.7461179952391626, 51.052100725361875], [3.746133540593052, 51.05208178329335], [3.746152482661573, 51.052066237939464], [3.7461740935116543, 51.052054686699435], [3.746197542650448, 51.052047573480955], [3.7462219289407, 51.052045171641005], [3.746246315230952, 51.052047573480955], [3.746269764369746, 51.052054686699435], [3.7462913752198275, 51.052066237939464], [3.7463103172883483, 51.05208178329335], [3.7463258626422378, 51.052100725361875], [3.746337413882264, 51.05212233621196], [3.7463445271007507, 51.05214578535075], [3.7463469289407003, 51.052170171641]]]], ""type"": ""MultiPolygon""}"
87280835-e6a6-4961-8797-b55c5301a576;Ooilamstraat 24;1;2;51.051169;3.738666;51.051169, 3.738666;"{""coordinates"": [[[[3.7388826737878538, 51.051169043709], [3.738878502050871, 51.051211400065405], [3.738866147157435, 51.05125212869078], [3.7388460838991717, 51.0512896644069], [3.7388190832958452, 51.05132256473725], [3.738786182965499, 51.05134956534057], [3.738748647249377, 51.051369628598835], [3.7387079186239998, 51.05138198349227], [3.7386655622676, 51.05138615522926], [3.7386232059112006, 51.05138198349227], [3.7385824772858234, 51.051369628598835], [3.7385449415697014, 51.05134956534057], [3.738512041239355, 51.05132256473725], [3.7384850406360286, 51.0512896644069], [3.7384649773777654, 51.05125212869078], [3.7384526224843295, 51.051211400065405], [3.7384484507473466, 51.051169043709], [3.7384526224843295, 51.0511266873526], [3.7384649773777654, 51.05108595872723], [3.7384850406360286, 51.0510484230111], [3.738512041239355, 51.05101552268076], [3.7385449415697014, 51.05098852207743], [3.7385824772858234, 51.05096845881917], [3.7386232059112006, 51.050956103925735], [3.7386655622676, 51.050951932188745], [3.7387079186239998, 51.050956103925735], [3.738748647249377, 51.05096845881917], [3.738786182965499, 51.05098852207743], [3.7388190832958452, 51.05101552268076], [3.7388460838991717, 51.0510484230111], [3.738866147157435, 51.05108595872723], [3.738878502050871, 51.0511266873526], [3.7388826737878538, 51.051169043709]]]], ""type"": ""MultiPolygon""}"
f60432bc-56d9-4f40-9a73-e738960cdcc8;Tweekapellenstraat 48;1;2;51.043618;3.757062;51.043618, 3.757062;"{""coordinates"": [[[[3.7571873998878003, 51.043618215909], [3.7571849980478507, 51.04364260219925], [3.757177884829364, 51.04366605133804], [3.7571663335893377, 51.04368766218813], [3.7571507882354482, 51.04370660425665], [3.7571318461669274, 51.04372214961054], [3.757110235316846, 51.04373370085057], [3.757086786178052, 51.04374081406905], [3.7570623998878, 51.043743215909], [3.757038013597548, 51.04374081406905], [3.7570145644587543, 51.04373370085057], [3.756992953608673, 51.04372214961054], [3.756974011540152, 51.04370660425665], [3.7569584661862625, 51.04368766218813], [3.7569469149462362, 51.04366605133804], [3.7569398017277496, 51.04364260219925], [3.7569373998878, 51.043618215909], [3.7569398017277496, 51.04359382961875], [3.7569469149462362, 51.043570380479956], [3.7569584661862625, 51.04354876962987], [3.756974011540152, 51.04352982756135], [3.756992953608673, 51.04351428220746], [3.7570145644587543, 51.04350273096743], [3.757038013597548, 51.04349561774895], [3.7570623998878, 51.043493215909], [3.757086786178052, 51.04349561774895], [3.757110235316846, 51.04350273096743], [3.7571318461669274, 51.04351428220746], [3.7571507882354482, 51.04352982756135], [3.7571663335893377, 51.04354876962987], [3.757177884829364, 51.043570380479956], [3.7571849980478507, 51.04359382961875], [3.7571873998878003, 51.043618215909]]]], ""type"": ""MultiPolygon""}"
a48087c0-f536-4938-a744-910a757392e6;Toekomststraat 1;1;2;51.051775;3.748453;51.051775, 3.748453;"{""coordinates"": [[[[3.7485777082377, 51.051774645768], [3.7485753063977505, 51.05179903205825], [3.748568193179264, 51.05182248119704], [3.7485566419392375, 51.051844092047126], [3.748541096585348, 51.05186303411565], [3.7485221545168272, 51.05187857946954], [3.748500543666746, 51.051890130709566], [3.748477094527952, 51.051897243928046], [3.7484527082377, 51.051899645767996], [3.748428321947448, 51.051897243928046], [3.748404872808654, 51.051890130709566], [3.7483832619585726, 51.05187857946954], [3.748364319890052, 51.05186303411565], [3.7483487745361623, 51.051844092047126], [3.748337223296136, 51.05182248119704], [3.7483301100776494, 51.05179903205825], [3.7483277082377, 51.051774645768], [3.7483301100776494, 51.05175025947775], [3.748337223296136, 51.051726810338955], [3.7483487745361623, 51.05170519948887], [3.748364319890052, 51.05168625742035], [3.7483832619585726, 51.05167071206646], [3.748404872808654, 51.05165916082643], [3.748428321947448, 51.05165204760795], [3.7484527082377, 51.051649645768], [3.748477094527952, 51.05165204760795], [3.748500543666746, 51.05165916082643], [3.7485221545168272, 51.05167071206646], [3.748541096585348, 51.05168625742035], [3.7485566419392375, 51.05170519948887], [3.748568193179264, 51.051726810338955], [3.7485753063977505, 51.05175025947775], [3.7485777082377, 51.051774645768]]]], ""type"": ""MultiPolygon""}"
f1f6f36a-e125-4a0f-88b4-4e9122e13c34;Schoolkaai 23;1;2;51.056028;3.736769;51.056028, 3.736769;"{""coordinates"": [[[[3.7370678040999, 51.056028067854], [3.7370620556316, 51.056086433032], [3.737045031137, 51.05614255527], [3.737017384858, 51.05619427782], [3.7369801792256, 51.056239613014], [3.7369348440313, 51.056276818646], [3.7368831214812, 51.056304464925], [3.7368269992439, 51.05632148942], [3.7367686340656, 51.056327237888], [3.7367102688873, 51.05632148942], [3.73665414665, 51.056304464925], [3.7366024240999, 51.056276818646], [3.7365570889056, 51.056239613014], [3.7365198832732, 51.05619427782], [3.7364922369942, 51.05614255527], [3.7364752124996, 51.056086433032], [3.7364694640313, 51.056028067854], [3.7364752124996, 51.055969702676], [3.7364922369942, 51.055913580438], [3.7365198832732, 51.055861857888], [3.7365570889056, 51.055816522694], [3.7366024240999, 51.055779317062], [3.73665414665, 51.055751670783], [3.7367102688873, 51.055734646288], [3.7367686340656, 51.05572889782], [3.7368269992439, 51.055734646288], [3.7368831214812, 51.055751670783], [3.7369348440313, 51.055779317062], [3.7369801792256, 51.055816522694], [3.737017384858, 51.055861857888], [3.737045031137, 51.055913580438], [3.7370620556316, 51.055969702676], [3.7370678040999, 51.056028067854]]]], ""type"": ""MultiPolygon""}"
ee62ea47-cd4e-41a7-a8bd-e2004064e6ac;Baudelostraat 89;1;2;51.058775;3.730019;51.058775, 3.730019;"{""coordinates"": [[[[3.7301440383647, 51.058775015623], [3.7301416365248, 51.058799401913], [3.7301345233063, 51.058822851052], [3.7301229720662, 51.058844461902], [3.7301074267123, 51.058863403971], [3.7300884846438, 51.058878949325], [3.7300668737937, 51.058890500565], [3.730043424655, 51.058897613783], [3.7300190383647, 51.058900015623], [3.7299946520744, 51.058897613783], [3.7299712029357, 51.058890500565], [3.7299495920856, 51.058878949325], [3.7299306500171, 51.058863403971], [3.7299151046632, 51.058844461902], [3.7299035534231, 51.058822851052], [3.7298964402046, 51.058799401913], [3.7298940383647, 51.058775015623], [3.7298964402046, 51.058750629333], [3.7299035534231, 51.058727180194], [3.7299151046632, 51.058705569344], [3.7299306500171, 51.058686627275], [3.7299495920856, 51.058671081921], [3.7299712029357, 51.058659530681], [3.7299946520744, 51.058652417463], [3.7300190383647, 51.058650015623], [3.730043424655, 51.058652417463], [3.7300668737937, 51.058659530681], [3.7300884846438, 51.058671081921], [3.7301074267123, 51.058686627275], [3.7301229720662, 51.058705569344], [3.7301345233063, 51.058727180194], [3.7301416365248, 51.058750629333], [3.7301440383647, 51.058775015623]]]], ""type"": ""MultiPolygon""}"
8ff7e2df-2d7a-4300-a994-a360d1073dec;Sint-Lievenslaan 238;1;2;51.038298;3.732206;51.038298, 3.732206;"{""coordinates"": [[[[3.7325792500302, 51.038297637181], [3.7325720862396, 51.038370372368], [3.7325508701682, 51.038440312382], [3.7325164171379, 51.038504769468], [3.7324700511591, 51.038561266577], [3.7324135540505, 51.038607632555], [3.7323490969643, 51.038642085586], [3.7322791569502, 51.038663301657], [3.7322064217636, 51.038670465448], [3.732133686577, 51.038663301657], [3.7320637465629, 51.038642085586], [3.7319992894767, 51.038607632555], [3.7319427923681, 51.038561266577], [3.7318964263893, 51.038504769468], [3.731861973359, 51.038440312382], [3.7318407572876, 51.038370372368], [3.731833593497, 51.038297637181], [3.7318407572876, 51.038224901994], [3.731861973359, 51.03815496198], [3.7318964263893, 51.038090504894], [3.7319427923681, 51.038034007785], [3.7319992894767, 51.037987641807], [3.7320637465629, 51.037953188776], [3.732133686577, 51.037931972705], [3.7322064217636, 51.037924808914], [3.7322791569502, 51.037931972705], [3.7323490969643, 51.037953188776], [3.7324135540505, 51.037987641807], [3.7324700511591, 51.038034007785], [3.7325164171379, 51.038090504894], [3.7325508701682, 51.03815496198], [3.7325720862396, 51.038224901994], [3.7325792500302, 51.038297637181]]]], ""type"": ""MultiPolygon""}"
35769638-b075-4718-9f8f-388acb3a0f18;Jules Persynstraat 50;1;2;51.034504;3.759631;51.034504, 3.759631;"{""coordinates"": [[[[3.7597560872161, 51.034504181601], [3.7597536853761504, 51.03452856789125], [3.7597465721576637, 51.034552017030045], [3.7597350209176374, 51.03457362788013], [3.759719475563748, 51.03459256994865], [3.759700533495227, 51.03460811530254], [3.7596789226451457, 51.03461966654257], [3.759655473506352, 51.03462677976105], [3.7596310872161, 51.034629181601], [3.759606700925848, 51.03462677976105], [3.759583251787054, 51.03461966654257], [3.7595616409369725, 51.03460811530254], [3.7595426988684517, 51.03459256994865], [3.7595271535145622, 51.03457362788013], [3.759515602274536, 51.034552017030045], [3.7595084890560493, 51.03452856789125], [3.7595060872160997, 51.034504181601], [3.7595084890560493, 51.03447979531075], [3.759515602274536, 51.03445634617196], [3.7595271535145622, 51.034434735321874], [3.7595426988684517, 51.03441579325335], [3.7595616409369725, 51.03440024789946], [3.759583251787054, 51.034388696659434], [3.759606700925848, 51.034381583440954], [3.7596310872161, 51.034379181601004], [3.759655473506352, 51.034381583440954], [3.7596789226451457, 51.034388696659434], [3.759700533495227, 51.03440024789946], [3.759719475563748, 51.03441579325335], [3.7597350209176374, 51.034434735321874], [3.7597465721576637, 51.03445634617196], [3.7597536853761504, 51.03447979531075], [3.7597560872161, 51.034504181601]]]], ""type"": ""MultiPolygon""}"
d2e8dfe9-c6f3-497a-891a-df3d04ca9612;Rerum-Novarumplein 180B;1;2;51.022773;3.71839;51.022773, 3.71839;"{""coordinates"": [[[[3.7185148978544, 51.022772905103], [3.7185124960144504, 51.022797291393246], [3.7185053827959638, 51.02282074053204], [3.7184938315559375, 51.022842351382124], [3.718478286202048, 51.022861293450646], [3.718459344133527, 51.022876838804535], [3.7184377332834457, 51.022888390044564], [3.718414284144652, 51.022895503263044], [3.7183898978544, 51.022897905102994], [3.718365511564148, 51.022895503263044], [3.718342062425354, 51.022888390044564], [3.7183204515752726, 51.022876838804535], [3.7183015095067518, 51.022861293450646], [3.7182859641528623, 51.022842351382124], [3.718274412912836, 51.02282074053204], [3.7182672996943493, 51.022797291393246], [3.7182648978543997, 51.022772905103], [3.7182672996943493, 51.02274851881275], [3.718274412912836, 51.02272506967395], [3.7182859641528623, 51.02270345882387], [3.7183015095067518, 51.02268451675535], [3.7183204515752726, 51.02266897140146], [3.718342062425354, 51.02265742016143], [3.718365511564148, 51.02265030694295], [3.7183898978544, 51.022647905103], [3.718414284144652, 51.02265030694295], [3.7184377332834457, 51.02265742016143], [3.718459344133527, 51.02266897140146], [3.718478286202048, 51.02268451675535], [3.7184938315559375, 51.02270345882387], [3.7185053827959638, 51.02272506967395], [3.7185124960144504, 51.02274851881275], [3.7185148978544, 51.022772905103]]]], ""type"": ""MultiPolygon""}"
