name;station_id;geopunt;lat;lon
Kasteellaan 487;16687;51.0557261, 3.738719;51.0557261;3.738719
Land van Waaslaan 128;13169;51.0585209, 3.7475825;51.0585209;3.7475825
Hoogpoort 44;12120;51.0551683, 3.7238052;51.0551683;3.7238052
Beukelaarstraat;21262;51.0612925, 3.7024551;51.0612925;3.7024551
Wazenaarstraat 3;12093;51.0407726, 3.7447574;51.0407726;3.7447574
Vrijdagsmarkt;12026;51.0573906, 3.7252658;51.0573906;3.7252658
Kajuitstraat;18456;51.0731978, 3.731295;51.0731978;3.731295
schommelstraat 46;23926;51.0642746, 3.7074351;51.0642746;3.7074351
Vlaanderenstraat 85;12205;51.0502747, 3.730164;51.0502747;3.730164
Kompasplein;18301;51.0648827, 3.7379278;51.0648827;3.7379278
Groot-Brittanniëlaan 147;13239;51.043432, 3.7119298;51.043432;3.7119298
Roodborstjesstraat;24255;51.0811966, 3.7048535;51.0811966;3.7048535
Steendam 27/29;16697;51.05723, 3.7297606;51.05723;3.7297606
François Laurentplein;22600;51.051422, 3.7281736;51.051422;3.7281736
Coupure Links 431;22613;51.0501806, 3.7102739;51.0501806;3.7102739
Raveschootstraat;21815;51.0410138, 3.7335682;51.0410138;3.7335682
Hofstraat 26;13314;51.045921, 3.7298503;51.045921;3.7298503
Heerweg-Zuid 24;16621;51.0015523, 3.7124946;51.0015523;3.7124946
Gildestraat 2;22596;51.0548394, 3.7302259;51.0548394;3.7302259
Neerscheldestraat 33;12214;51.0429103, 3.7435828;51.0429103;3.7435828
Forelstraat 57;13328;51.0478695, 3.7412392;51.0478695;3.7412392
Kompasplein 2;23589;51.0643705, 3.7374126;51.0643705;3.7374126
Bernard Spaelaan 2;22616;51.0501587, 3.7095041;51.0501587;3.7095041
Onderstraat 21a;12118;51.056168, 3.7245457;51.056168;3.7245457
FilmFest Kinepolis;23814;51.0403997, 3.7296512;51.0403997;3.7296512
Emilius Seghersplein;21828;51.0595563, 3.7035818;51.0595563;3.7035818
Zwijnaarde West;15544;51.0103657, 3.7077314;51.0103657;3.7077314
Strandlaan 26;12000;51.0447825, 3.6871504;51.0447825;3.6871504
Sterre Noord;15558;51.0262373, 3.7128156;51.0262373;3.7128156
Hortensiastraat 109;12411;51.0697486, 3.7046855;51.0697486;3.7046855
Einde Were 50;12183;51.0508322, 3.7022726;51.0508322;3.7022726
Blandijnberg 2;18658;51.0440229, 3.7251746;51.0440229;3.7251746
Tuinwijklaan 9;16652;51.0318595, 3.7110521;51.0318595;3.7110521
Wolterslaan 160;13190;51.0476303, 3.7511836;51.0476303;3.7511836
Marialand;13531;51.0537828, 3.7117455;51.0537828;3.7117455
Koophandelsplein;9494;51.0504554, 3.7207372;51.0504554;3.7207372
Pekelharing 2;13305;51.0490068, 3.7194917;51.0490068;3.7194917
Van Den Heckestraat 7;16678;51.0369233, 3.7444712;51.0369233;3.7444712
Coupure Links 323;22612;51.0490795, 3.7116894;51.0490795;3.7116894
Filips van Marnixstraat 75;13396;51.0402522, 3.7189144;51.0402522;3.7189144
Gillis Coppinsstraat 2;13266;51.0622302, 3.7270899;51.0622302;3.7270899
Savaanstraat 78;12083;51.0486187, 3.7234384;51.0486187;3.7234384
Laurent Delvaux straat 5;18302;51.0421195, 3.7197052;51.0421195;3.7197052
Voetweg 19;16700;51.0406669, 3.7272728;51.0406669;3.7272728
Laperre;22592;51.0566891, 3.7286189;51.0566891;3.7286189
Brouwerstraat 1;12014;51.0552908, 3.7164211;51.0552908;3.7164211
Artevelde Only underground Kattenberg;23906;51.0419757, 3.7243206;51.0419757;3.7243206
Kraanlei 71;12037;51.0576098, 3.7237438;51.0576098;3.7237438
Hoveniersstraat 15;12086;51.0373771, 3.7426545;51.0373771;3.7426545
Portugalstraat 13;16610;51.0579847, 3.704422;51.0579847;3.704422
Ankerslaan 75;12098;51.0396446, 3.7506019;51.0396446;3.7506019
Café Robot;22621;51.0460761, 3.7159143;51.0460761;3.7159143
Brusselsesteenweg 1a;12090;51.0419568, 3.7412126;51.0419568;3.7412126
Zuidkaai  11;21715;51.0585165, 3.7066422;51.0585165;3.7066422
P+R The Loop tramhalte;11999;51.025282, 3.6929063;51.025282;3.6929063
Filips Van Cleeflaan 113;19411;51.0622929, 3.7128817;51.0622929;3.7128817
De Post - Plein tegen zinloos geweld;23236;51.0545363, 3.7215992;51.0545363;3.7215992
Korenmarkt;12022;51.0541894, 3.7219663;51.0541894;3.7219663
Oude beestenmarkt;19990;51.0541228, 3.7313433;51.0541228;3.7313433
Spiegelhofstraat;21264;51.0527507, 3.7040082;51.0527507;3.7040082
Ankerslaan 19;13199;51.0384054, 3.7498162;51.0384054;3.7498162
Brankardierstraat 18;21712;51.0514793, 3.7047536;51.0514793;3.7047536
Vlierstraat 85;12430;51.0327394, 3.7266846;51.0327394;3.7266846
Trimlaan 7;12207;51.0471052, 3.6824808;51.0471052;3.6824808
Vrijdagsmarkt 36;13295;51.0566856, 3.7260831;51.0566856;3.7260831
Heernisplein 23a;13180;51.0525989, 3.7481826;51.0525989;3.7481826
HoGent Sporthal;20360;51.0351449, 3.7044468;51.0351449;3.7044468
Kalvermarkt;23262;51.0555936, 3.7317376;51.0555936;3.7317376
Artevelde Hogeschool Stropkaai 14;23902;51.0369018, 3.7303859;51.0369018;3.7303859
Krijgslaan 100;13251;51.0334311, 3.72049;51.0334311;3.72049
Patrijsstraat 12;13250;51.0743508, 3.7324745;51.0743508;3.7324745
Bleau;16981;51.0494804, 3.6814601;51.0494804;3.6814601
Kogelstraat 101;16688;51.0608167, 3.7418876;51.0608167;3.7418876
Karel van Hulthemstraat 36;12054;51.0441471, 3.7230422;51.0441471;3.7230422
Vliegtuiglaan 10;12435;51.0739085, 3.7390308;51.0739085;3.7390308
Meibloemstraat 120;12133;51.0602159, 3.6949114;51.0602159;3.6949114
Huidevetterskaai 39/40;13309;51.0609376, 3.7277436;51.0609376;3.7277436
Victoriastraat 9;13259;51.0354645, 3.7240804;51.0354645;3.7240804
Campinglaan 14;12206;51.0463735, 3.6808789;51.0463735;3.6808789
Hogeschool Gent;20616;51.0283331, 3.7062271;51.0283331;3.7062271
Gatti De Gammondstraat 15;21775;51.0601682, 3.6903478;51.0601682;3.6903478
Blekerijstraat 50;12081;51.0596372, 3.7323693;51.0596372;3.7323693
Faculteit Diergeneeskunde;24644;50.9981899, 3.7670214;50.9981899;3.7670214
Pieter de Keyserestraat;12030;51.0538131, 3.7335358;51.0538131;3.7335358
Bij Sint-Jacobs 5;22591;51.0566848, 3.7268285;51.0566848;3.7268285
P+R Bourgoyen;13404;51.0671332, 3.682853;51.0671332;3.682853
Kasteellaan 54;12069;51.049469, 3.7396381;51.049469;3.7396381
Jozef Plateaustraat 45;18659;51.0461967, 3.7250625;51.0461967;3.7250625
SMAK - Stedelijk Museum voor Actuele Kunst;12050;51.0382829, 3.7231035;51.0382829;3.7231035
Hogent Mercator;26673;51.0434313, 3.7140364;51.0434313;3.7140364
Goedendagstraat;18458;51.0830462, 3.7281002;51.0830462;3.7281002
Braemstraat Nachtwinkel;21754;51.0321145, 3.7613247;51.0321145;3.7613247
Sint-Michielsplein 16;12034;51.0538692, 3.7189684;51.0538692;3.7189684
Sint-Margrietstraat 30;12202;51.059302, 3.720876;51.059302;3.720876
Station Dampoort;17178;51.0566121, 3.74037;51.0566121;3.74037
Sint-Martensstraat 1;12195;51.0509813, 3.7183656;51.0509813;3.7183656
Duifhuisstraat 73;16655;51.0398793, 3.7027029;51.0398793;3.7027029
Poel 15;12196;51.0545287, 3.7173127;51.0545287;3.7173127
Coupure Links Einde;23144;51.0559268, 3.708326;51.0559268;3.708326
Hubert Frere Orbanlaan;18800;51.0464312, 3.732826;51.0464312;3.732826
Watt The Firms;26439;51.0551047, 3.7065574;51.0551047;3.7065574
Charles de Kerchovelaan 307;17122;51.0392918, 3.7244372;51.0392918;3.7244372
Tolhuislaan 77;12082;51.0635508, 3.7256125;51.0635508;3.7256125
Leo Tertzweillaan 42;12313;51.0427279, 3.7520773;51.0427279;3.7520773
Verkortingstraat 102;22292;51.0646903, 3.7521296;51.0646903;3.7521296
Groenebriel 1;12065;51.0616534, 3.7211293;51.0616534;3.7211293
Ledebergplein 39;12088;51.0374543, 3.7412398;51.0374543;3.7412398
Ossenstraat 2;12114;51.0529075, 3.7387522;51.0529075;3.7387522
Sint-Veerleplein 4c;12201;51.0567632, 3.7213245;51.0567632;3.7213245
Voskenslaan 183;12135;51.0302418, 3.7060293;51.0302418;3.7060293
Oscar Colbrandtstraat 153;13243;51.0566492, 3.7573754;51.0566492;3.7573754
Campus Aula;22540;51.0521984, 3.7239713;51.0521984;3.7239713
Dok-Noord 31;12075;51.0700658, 3.7303195;51.0700658;3.7303195
St-John;22593;51.0564071, 3.7284633;51.0564071;3.7284633
Hoogstraat 71;13306;51.0552526, 3.7125234;51.0552526;3.7125234
P+R Ledeberg;23130;51.0365714, 3.7386892;51.0365714;3.7386892
Vlasmarkt;22594;51.0556282, 3.7283088;51.0556282;3.7283088
Coyendanspark;9496;51.0528738, 3.735729;51.0528738;3.735729
2de Gent-Sint-Pietersstation Noord;21444;51.0370561, 3.7102414;51.0370561;3.7102414
Flixbus Ghent;17222;51.053617, 3.7403016;51.053617;3.7403016
Opgeëistenlaan 401;12392;51.0630685, 3.7159931;51.0630685;3.7159931
Bij Sint-Jacobs 16;12006;51.0561392, 3.7277133;51.0561392;3.7277133
Station Gentbrugge;19356;51.0383084, 3.7567656;51.0383084;3.7567656
Ter Platen 32;12084;51.0392373, 3.7295442;51.0392373;3.7295442
Bassijnstraat 2;13195;51.0455618, 3.7477834;51.0455618;3.7477834
Emiel Lossystraat 55h;13192;51.0494013, 3.7597954;51.0494013;3.7597954
Drongensesteenweg 97;16638;51.0565155, 3.6984831;51.0565155;3.6984831
Ooievaarstraat 66;12132;51.0581844, 3.6986053;51.0581844;3.6986053
Ferdinand Lousbergskaai 139;12369;51.0440376, 3.7401502;51.0440376;3.7401502
Lange Kruisstraat 31;14695;51.0523184, 3.7257917;51.0523184;3.7257917
Bijloke site;24698;51.0440697, 3.7186644;51.0440697;3.7186644
Franklin Rooseveltlaan 457;12109;51.0432014, 3.7325584;51.0432014;3.7325584
Lucas Munichstraat 29;12071;51.0555557, 3.7361641;51.0555557;3.7361641
Wielewaalstraat 70;13220;51.0653969, 3.6964434;51.0653969;3.6964434
Paul Bergmansdreef 2;12051;51.0368292, 3.7208652;51.0368292;3.7208652
Brankardierstraat 48;21713;51.0520113, 3.7043322;51.0520113;3.7043322
Wasstraat 116;13325;51.0560957, 3.7444236;51.0560957;3.7444236
Corbiestraat 36;16476;51.0331016, 3.7238981;51.0331016;3.7238981
Martelaarslaan 12;13318;51.0494639, 3.7051365;51.0494639;3.7051365
Wittemolenstraat 40;13245;51.0565756, 3.7495297;51.0565756;3.7495297
Predikherenlei;12017;51.0526566, 3.7209716;51.0526566;3.7209716
Center Parking;22584;51.0509608, 3.722596;51.0509608;3.722596
Gent-Sint-Pietersstation Zuid;19610;51.0349961, 3.7091477;51.0349961;3.7091477
Lousbergpark;12092;51.0458166, 3.7410848;51.0458166;3.7410848
Coupure 669;21714;51.0544723, 3.7087806;51.0544723;3.7087806
Sterre Hoofdingang;15560;51.0265572, 3.7141567;51.0265572;3.7141567
Acaciastraat 12b;12190;51.0608856, 3.6999198;51.0608856;3.6999198
Oude Houtlei 124;13400;51.0512725, 3.7169903;51.0512725;3.7169903
Doornzelestraat 1;12377;51.0639684, 3.7295391;51.0639684;3.7295391
2de Stadhuis hoogpoort;22587;51.0548822, 3.7247599;51.0548822;3.7247599
Sint-Lievenspoort;20810;51.0394125, 3.7374997;51.0394125;3.7374997
Sint-Jansvest;22602;51.0500002, 3.7277666;51.0500002;3.7277666
LDC De Horizon;21329;51.0516768, 3.7365961;51.0516768;3.7365961
Zwijnaarde Overdekt;15639;51.0124254, 3.7077672;51.0124254;3.7077672
Forelstraat 109;12373;51.0487779, 3.7430119;51.0487779;3.7430119
2de Korenmarkt;22585;51.0550299, 3.7220518;51.0550299;3.7220518
Guldenvliesstraat 2-32;24241;51.0590604, 3.7075347;51.0590604;3.7075347
FilmFest KASKCinema;12058;51.045314, 3.7145362;51.045314;3.7145362
Artevelde Hogeschool Sint Amandsberg;23898;51.0623281, 3.7467302;51.0623281;3.7467302
Stadhuis hoogpoort;22588;51.0547416, 3.725299;51.0547416;3.725299
keizerkarelstraat 1;22599;51.0534975, 3.7314845;51.0534975;3.7314845
Ham 155;12080;51.0610287, 3.7340166;51.0610287;3.7340166
Goudenleeuwplein 1;12025;51.0539409, 3.7251371;51.0539409;3.7251371
Korenbloemstraat 42;21711;51.0525091, 3.7062389;51.0525091;3.7062389
Parklaan 98;12151;51.0344795, 3.717256;51.0344795;3.717256
Kiekenstraat 8;12192;51.0642773, 3.6979297;51.0642773;3.6979297
Beemdstraat 5;13268;51.0411883, 3.7152769;51.0411883;3.7152769
Brugsesteenweg 370;16588;51.0685655, 3.6850426;51.0685655;3.6850426
Muinkkaai 34;12047;51.0449481, 3.728668;51.0449481;3.728668
Tolhuislaan 148;12388;51.0648525, 3.7266142;51.0648525;3.7266142
Networks Gent;21185;51.0288152, 3.6939096;51.0288152;3.6939096
Dukkeldamstraat;18457;51.0780114, 3.7300475;51.0780114;3.7300475
Johannes Schrantstraat;17268;51.0538571, 3.7016084;51.0538571;3.7016084
Koningin Astridpark;12070;51.050248, 3.7379477;51.050248;3.7379477
Iepenstraat 2;12194;51.0499168, 3.7173279;51.0499168;3.7173279
Krijgslaan 163;16650;51.0315026, 3.7204142;51.0315026;3.7204142
-1 De Krook (underground);15151;51.048445, 3.7287204;51.048445;3.7287204
Molenaarsstraat 22;12391;51.0605629, 3.7184658;51.0605629;3.7184658
Lamoraal van Egmontstraat 1;12152;51.0391337, 3.7165106;51.0391337;3.7165106
P+R Muide;12074;51.0734858, 3.7338635;51.0734858;3.7338635
Gentbruggestraat 90;13193;51.05023, 3.7526381;51.05023;3.7526381
Braemstraat 67;19791;51.0340321, 3.7636184;51.0340321;3.7636184
Hembysebolwerk;23145;51.05695, 3.7074666;51.05695;3.7074666
Volderstraat b&b hotel;21333;51.0522008, 3.7222339;51.0522008;3.7222339
Filips van Arteveldestraat;12033;51.0505419, 3.7349825;51.0505419;3.7349825
Gouvernementstraat 34;12204;51.0506548, 3.7263568;51.0506548;3.7263568
Coupure Links 503;22614;51.0506898, 3.7102022;51.0506898;3.7102022
Filips van Cleeflaan;19383;51.0604647, 3.7107695;51.0604647;3.7107695
Groentenmarkt;12023;51.0557623, 3.722004;51.0557623;3.722004
Ommegangstraat 2;13322;51.0425649, 3.7366551;51.0425649;3.7366551
Paddenhoek;22542;51.051762, 3.7247029;51.051762;3.7247029
Kouter 175;16698;51.050446, 3.7247839;51.050446;3.7247839
Linnenstraat 127;16628;51.0684514, 3.691455;51.0684514;3.691455
Watt the factory;26735;51.0566235, 3.7007879;51.0566235;3.7007879
Bij Sint-Jacobs 3F;22590;51.0565567, 3.7265888;51.0565567;3.7265888
